"FL_DATE","OP_UNIQUE_CARRIER","OP_CARRIER_AIRLINE_ID","OP_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_WAC","DEP_TIME","DEP_DELAY","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","ARR_TIME","ARR_DELAY","CANCELLED","CANCELLATION_CODE","DIVERTED","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
2020-06-01,"AA",19805,"AA","N581UW","1489",11618,1161802,31703,"EWR","NJ","34",21,11057,1105703,31057,"CLT","NC","37",36,"1251",-9.00,11.00,"1302","1422",5.00,"1427",-29.00,0.00,,0.00,96.00,80.00,1.00,529.00,,,,,
2020-06-01,"AA",19805,"AA","N812AW","1499",14107,1410702,30466,"PHX","AZ","04",81,14869,1486903,34614,"SLC","UT","49",87,"0958",-8.00,11.00,"1009","1222",2.00,"1224",-20.00,0.00,,0.00,86.00,73.00,1.00,507.00,,,,,
2020-06-01,"AA",19805,"AA","N812AW","1499",14869,1486903,34614,"SLC","UT","49",87,14107,1410702,30466,"PHX","AZ","04",81,"1342",-7.00,14.00,"1356","1413",5.00,"1418",-9.00,0.00,,0.00,96.00,77.00,1.00,507.00,,,,,
2020-06-01,"AA",19805,"AA","N5007E","1519",10397,1039707,30397,"ATL","GA","13",34,13303,1330303,32467,"MIA","FL","12",33,"1524",-6.00,10.00,"1534","1655",4.00,"1659",-38.00,0.00,,0.00,95.00,81.00,1.00,594.00,,,,,
2020-06-01,"AA",19805,"AA","N875NN","1520",11278,1127805,30852,"DCA","VA","51",38,13303,1330303,32467,"MIA","FL","12",33,"1529",-11.00,11.00,"1540","1742",6.00,"1748",-51.00,0.00,,0.00,139.00,122.00,1.00,919.00,,,,,
2020-06-01,"AA",19805,"AA","N905AU","1532",10397,1039707,30397,"ATL","GA","13",34,11298,1129806,30194,"DFW","TX","48",74,"1409",-3.00,10.00,"1419","1506",11.00,"1517",-21.00,0.00,,0.00,128.00,107.00,1.00,731.00,,,,,
2020-06-01,"AA",19805,"AA","N5007E","1532",11298,1129806,30194,"DFW","TX","48",74,10397,1039707,30397,"ATL","GA","13",34,"1015",-5.00,9.00,"1024","1302",14.00,"1316",-10.00,0.00,,0.00,121.00,98.00,1.00,731.00,,,,,
2020-06-01,"AA",19805,"AA","N9013A","1537",14492,1449202,34492,"RDU","NC","37",36,13930,1393007,30977,"ORD","IL","17",41,"1207",-8.00,13.00,"1220","1302",6.00,"1308",-33.00,0.00,,0.00,121.00,102.00,1.00,646.00,,,,,
2020-06-01,"AA",19805,"AA","N940AN","1540",14747,1474703,30559,"SEA","WA","53",93,13930,1393007,30977,"ORD","IL","17",41,"0943",0.00,13.00,"0956","1518",13.00,"1531",-28.00,0.00,,0.00,228.00,202.00,1.00,1721.00,,,,,
2020-06-01,"AA",19805,"AA","N832AW","1551",11298,1129806,30194,"DFW","TX","48",74,14122,1412202,30198,"PIT","PA","42",23,"1050",-5.00,25.00,"1115","1435",8.00,"1443",3.00,0.00,,0.00,173.00,140.00,1.00,1067.00,,,,,
